word|definition
Contrast|The difference in value between highlight and shadow areas of an image.
Contract proof|A proof made to closely represent a printed piece that a client will sign as an agreement regarding how the finished product will look.
Cover stock|A general term for heavier paper designed to be used as the covers of catalogues, booklets etc.  The basis size is 20 x26 inches.
Creep|When a number of pages of the same size are folded together, the inside pages will protrude in a V formation.  This phenomenon is known as creep, it needs to be compensated for on larger saddle stitched books to avoid too much of the inside pages being cut off when the books are trimmed.
Crop|To cut or otherwise remove portions of something.
Cross hair|A small cross mark used as a guide in folding and sometimes registration.
CRT|Cathode Ray Tube.  The picture tube in old style TV's and computer monitors.
CTP|Computer to plate.  A computerized system that is able to image printing plates directly without intermediate film.  It is far more accurate and efficient than  traditional film based systems.
Curl|The distortion of a sheet of paper due to differences in structure, coatings or moisture on one side compared to the other.
Cut off|On a web printing press it is the length that the press will cut the paper to and corresponds to the circumference of the plate cylinder.
Dampening system|The mechanism on a lithographic press to transfer a dampening solution (often just called water) to the printing plate.
Decke edge|The natural untrimmed feathery edge of paper that it has when it comes out of the paper machine.
Densitometer|An instrument used to measure the density, or darkness of ink on paper.
Developer|A chemical used to remove unwanted plate (or film) coatings. 
Die-cutting|The process of using dies to cut irregular shapes for envelopes, presentation folders, packaging and other pieces requiring custom cuts.  Die-cutting can be done on either a rotary press with a cylindrical die or on a flatbed press.  Rotary die-cutting is often done inline with printing.
Display type|Type set larger than the body copy to attract attention.
Distributing rollers|Rollers, usually rubber coated, that convey the ink from the fountain onto the ink drum.
Dot gain|The enlargement of the dots that form the tonal range in printing.  It tends to compound in each step of platemaking (an advantage of direct to plate systems) and also on press from the ink spreading out from the exact image areas of the plate, and the ink soaking and spreading into the paper.  The effect seen from dot gain, is a general darkening of screened areas.
Drier|A substance added to ink to speed the drying process.
Drop out|Areas of image that do not reproduce such as very fine lines and extreme highlight areas in images.  Most of this can be eliminated with current computer to plate and stochastic dot schemes.
Drum scanner|A high end scanner that used a spinning drum to mount pieces on for scanning.  The drum rotates while the scanning head moves perpendicular to it and records the image passing it.
Dry-up|See catching up.
Ductor roller|Roller on a printing press inking system and another in the damping system that alternatively contacts both the fountain roller and the first oscillator, transporting ink (or fountain solution) from the fountain to the distributing system.  The movement of the ductor can be adjusted and is usually set to be in time with the revolutions of the plate cylinder.
Dummy|A blank paper representation of a piece to show size, shape, weight and feel.
Dummy plat|On a web press a blank plate is used on units that are to not print any image such as on the cyan, magenta and yellow units when a black only job is to be printed on four colour press.
Duotone|An image that prints two colours from a single colour original.  Usually black and a special spot colour.
Duplex paper|Paper with a different colour or finish on each side.
Duplicating film|A film for making positives from positives or negatives from negatives.
Elliptical dots|A screen pattern that uses elongated dot pattern for halftone screening.
Em|A unit of measure that equals the width and hight of the point size of the associated text, so an em in 8 point type is 8 points.  Originally named in the days of lead type after the capital letter M because it was usually cast on a square block.
Embossed finish|Paper with a textured finish often resembling wood, fabric, leather or some other pattern
Embossing|Uses a die impression to create a raised texture.  In computer design, effects that are made to resemble a raised 3d effect are often called embossing.
En|Half the width of an em.  That means that one en in 8 point type is 4 points.
Encapsulated PostScript, or EPS|It is a PostScript document designed to be used as a graphics file format.  EPS files can contain a variety of graphics and text.  Although the use of this file format is far smaller than it used to be, it was a key industry standard for graphic files that contained more than pixel data for a long time and is still widely used.  The file extension is .eps
English finish|A grade of book paper with an uncoated, yet very smooth finish.
Etch|An acidified gum solution used to desensitize image areas of a plate.  Also called image remover.
Expanded type|A font with a wider than normal aspect ratio.
Fadeometer|An instrument that measures the fading qualities of inks and other pigmented coatings.
Fanout|The distortion of paper that causes waviness in the paper due to the absorption of moisture around the edges, especially across the grain.
Feeder|The devise that picks up and separates sheets of paper as it draws them into the machine.
Felt side|The smother side of the paper for printing.  The top side in paper manufacturing.
Filament of ink|A minute fiber like strand of ink that can fly off a press in certain circumstances.  
Filling in|When small non image areas get covered over (or filled in) with ink, usually in dark tonal areas of images.  This is usually caused by over inking.
Filter|Traditionally a coloured or otherwise light influencing layer put over the lens of a camera.  In desktop publishing it is an electronic algorithm applied to something to alter its appearance.
Fixer|A chemical used to neutralize the photosensitivity of film or other light sensitive material.
Flat|In prepress and platemaking it is used to refer to a complete set of pages imposed (assembled) together for printing.
In image enhancement and photography it refers to an image with low contrast (little difference between highlight and shadow areas.
Flow|The ability of ink to spread over the rollers in the inking system of the press.
Flush cover|A cover that has been trimmed to the same size as the interior of the book.  Typically soft covers are flush and hard covers aren't.
Flush left, flush right|Text that lines up on its left or right side.  Also called align left or align right.
Flying paster|A web press feature to assist in roll changes.  It automatically splices the paper from a new roll onto the tail of the paper currently running through the press without having to stop the press.
Focal length|A photographic lens's focal length is the distance between the rear nodal point of the lens when focused to infinity and the film or sensor of the camera.  As an object moves closer to the camera, a longer distance is required between the rear nodal point and the imaging surface.  Lenses with a shorter focal length give a wider angle of view.
Folio|Folio originally referred to a style of book making where each sheet was folded only once, to make 4 pages.  Books made this way tended to be large, and so the word came to be used for all books that were about 15” in height.  In books without numbering, it can be used to refer to the leaf count of a book, with recto and verso used to refer to the front or back of the leaf.  It is also sometimes used to simply refer to the page number. 
Font|A complete set of letters, numbers and symbols of a given size and design.
Form|Everything that prints together on a single sheet on press.
Form rollers|The rollers that directly contact the plate, whether ink rollers or dampening (water) rollers.
Format|A characteristic set of specifications for a given piece, often referring to the size and binding style.  Context will dictate the exact meaning.
Fountain solution|A solution of chemicals used to keep the non-printing areas of the plate from accepting ink.  Also called dampening solution.
Four colour process|The standard method used to represent full colour in print.  It used the 3 subtractive primary colours (cyan, magenta and yellow) plus black (K).  This is the basis for the CMYK colour space and is known as process colour.  Inks of these colours are know as process inks.  Printing presses are manufactured to print colour in this way that have 4 press units in sequence, each one printing one of the three primaries or black consecutively.  Small dots are are printed of each colour and when viewed together at a normal viewing distance, the eye blends the colour from the differing dots to create the illusion of a wide selection of colours.
Gamma|An exponential transfer function that describes the relation between light intensity and signal or visa versa.  output = input  ^ gamma where ^ denotes exponentiation and gamma is the exponent of the power function. Essentially it is a measurement of relative brightness, a larger number will provide a darker image.  The standard setting for a computer monitor is 2.2, although Macs used to use 1.8 for better matching to printers.
Gear streaks|Parallel streaks that appear across a print corresponding to the gears on the cylinder.
Generation|Each time an analogue image is reproduced.  For example when light comes into a photographer's lens and records an scene, that is a first generation recording.  If that film or file was then sent to a lab and a print was made, the print would be second generation.  A scan of that print would be third generation, and so on.  With each generation, quality is lost.
Grain|In paper the grain is the direction most of the fibres in the paper lie.  This corresponds to the direction that the paper travelled through the paper machine when it was made.
Graining|Slight roughening of a surface using abrasives.  Graining applied to metal printing plates causes greater water retention and adhesion of coating to an otherwise smooth surface.
Grammage|The metric measurement for basis weight.  It is the weight in grams of one sheet of paper that has an area of one square meter, and is therefore not dependent on basic sheet size or paper grade.
Gray scale|An image that is made up of various values of gray.  Also know as black and white.
Gripper edge|The leading edge of paper as it passes through a sheetfed press.
Gripper margin|The non-print area of a press sheet corresponding to the size of the grippers on the press.  Usually a half inch or less on the leading edge of the sheet.
Grippers|Metal fingers that clamp onto the paper to guide it through the press.
Ground wood|A thick newsprint like stock commonly used for printing novels.  It is named after the mechanically separated wood fiber used to make it.  Ground wood fiber is wood pulp without any additional purification or bleaching.
Gum arabic|Is a natural gum made with the hardened sap of certain species of acacia tree.  It is used in platemaking and on press to protect plates until they are ready for use, and mixed with bichromate to sensitize deep etch and bimetal plates.
Gumming|Applying a thin layer of gum to a plate to protect it from oxidization.
Gutter|The inner margin from the print area to the binding.
Hairline register|Registration within the width of a half row of dots.
Halation|A bright halo like ring around a bright object in a photo caused by light dispersion in the glass of the lenses or elsewhere in the process.
Half tone|An image represented by varying sizes of dots, usually in the world of computerized prepress systems the conversion from various values of an image to dots is known as screening.
Hard copy|A physical copy or non computerized original of some kind as opposed to a computer file.
Hard proof|A representation of how a piece can be expected to print that is on paper or another substrate as opposed to a soft proof which would be a file to view on screen.
Hardware|A computer and peripherals as opposed to software which refers to the programs to run the computer.
Header|Commonly used to refer to the running head which is the section of a page above the body copy that appears on multiple or all pages often including a chapter or section title, page number or other information.  <br>In computing a header is supplemental data that is placed at the beginning of a block of data to be stored or transmitted.
Hickeys|Small usually round imperfections in printing caused by foreign objects on the blanket or plate such as ink skin, dust or paper fragments.
High contrast|An image with a large range of values, especially in the mid-tones.
Highlight|The brightest portions of an image represented by small or no dots in conventional screening, or in stochastic screening widely separated or no dots.
Holdout|A property of paper with low ink absorbency that allows the ink to dry on the surface without absorbing into the paper.  This tends to cause problems with offsetting, or ink from one sheet transferring to the text upon contact.
Hue|The property of colour that makes red differ from blue and green.  The other two properties of colour are lightness and saturation.  A shade of warm, soft pink may have the same hue as a particular red, the change of colour being caused by a change in lightness, however a bright magenta may have the same lightness as a red, the difference being a change in hue.
Hydrophilic|Water loving.  It is a surface that attracts water or easily becomes wet.
Hydrophobic|Water repelling.  It is a surface that repels water, such as a non-stick pan.
Image setter|A device that images film by exposing it to light.  The film is usually mounted around a drum and the imaging head operates inside the drum either spinning or oscillating.  Image setters have largely been replaced by plate setters that skip film altogether and go directly from computer to plate.
Imposition|The arrangement of pages to make them assemble correctly in a finished piece after folding and trimming.
Impression cylinder|The opposing cylinder that presses the paper up against the plate or blanket from which it receives ink.
Ink fountain|The device that contains the ink on a printing press and supplies it to the press.
Ink mist|Fine thread like ink filaments that collect as a mist around the press as it prints.
Inkometer|An instrument for measuring ink tack (adhesiveness) of the ink as it is transferred onto the paper.  The amount of tack is controlled by adding solvent to the ink.  Too much tack can cause the paper to leave fragments of it's surface on the blanket or plate causing quality problems.
Insert|A separately printed piece placed into another printed piece.
IPS|An acronym for In-Plane Switching.  It is a technology that improves the colour reproduction and viewing angles of LCD panels making them suitable for graphics work.  The fundamental difference is that the electric charge travels across the pixels (or in the same plane) rather than through the liquid crystal from a back layer to a front layer.
Italic|A slanted more cursive typeface based on a plain font.  Italic type is often used for emphasis.
Jog|To adjust a stack so that all the edges of each piece in the stack aligns.
Justify|To align type by filling the space to that text touches both the left and right margins.
JPEG|An acronym for Joint Photographic Experts Group.  It is used to refer to a file compression standard created by the committee.  It is a lossy meaning some digital information is lost during compression and cannot be restored.  Colour information is reduced because the human eye is more sensitive to brightness (value) variations than colour variations.  The image is divided into 8x8 pixel blocks and each of these is compressed further using complex algorithms.  In highly compresses JPEG images the 8x8 blocks and blurry colour can be seen.  File extentions used for this file format are usually .jpg and .jpeg although .jpe, .jfif, and .jif are also used.  JPEG images are often imbedded in other file formats as well.
Kerning|Adjusting the spaces between letters so that they appear balanced.  This may require parts of one letter to hang into the area usually occupied by the adjacent character.  For example in WA, the rightmost point of the W might directly above the leftmost part of the A.
Keyline|A line, usually black that follows the edges of differently coloured areas, or image.  Before modern technology improved the printing process to allow for improved accuracy. it was commonly used to mask misregistration where it was more visually obvious around the edges of objects.
Keyplate|The plate of the colour used to register the others to.  Usually the plate with the most detail is chosen.
Kiss impression|The balance of pressure of the paper to the blanket.  Too much pressure and there will be a smudging effect, too little and the image is not completely transferred.
Lacquer|A clear, usually glossy, varnish like coating applied to a printed sheet to improve durability or provide a desired appearance.
Lamination|Applying a thin layer of clear plastic to a printed sheet for a highly durable attractive finish.  
Layout|A drawing or sketch of a proposed printed piece.  see also page layout 
LCD|An acronym for Liquid Crystal Display.  It works using polarizing filters with liquid crystals that are in contact with electrodes which can align the crystals with charge.  Some LCDs will allow light to pass when voltage is applied and some when voltage is not applied.  Colour is made by attaching red green and blue filters to minute sub-pixel sections or micro pixels of the LCD.
Leaders|Rows of dots, dashes or other markings that lead the eye across the page.  Typically seen in tabbed tables and charts, table of contents pages and forms.
Leading|The amount of space between lines of type.  The term comes from the pieces of lead that would be inserted between lines of type in traditional typesetting.
Ledger paper|A grade and size (11 x 17 inches) of writing paper designed for record keeping.  Also called tabloid paper because of it's size being similar to tabloid size newspapers.
Line art|Traditionally it was any artwork copy that did not require halftone screening.  In a computerized graphic art environment it refers to single bit per pixel images (each pixel can be either black or white.)  
Long ink|An ink that flows well on the ink rollers.  If an ink is too long, it breaks up into filaments and increases ink misting.
Lower case|The smaller uncapitalized letters in type.
M|Abbreviation for 1000 copies.
Machine coated|Paper with a single or double sided coated applied in the paper machine.
Machine direction|See grain direction.
Magenta|One of the three subtractive primary colours, opposite to the additive primary colour green.  It is also the one of the four colours used in process Colour printing.
Makeready|All work done after platemaking and before the first good copy come off the press.  This includes mounting the plates, loading the ink if necessary adjusting feeders grippers guides and or folder, setting the ink and water flow, register and fine-tuning to match a customer approved proof.  On shorter runs makeready time can account for a large amount of the total cost of printing.
Matte finish|A paper surface finish with no inherent glossiness.
Mechanical pulp|Raw wood fiber that has had no further processing.
Megapixel|One million pixels.  Generally terminology used to describe digital cameras.  Incidentally more megapixels does not necessarily mean more quality.  There are a number of other factors that affect the quality of the system, the most significant being the quality of the lens in front of the sensor.  The electronics cannot record a better image than the optics can produce.  Also sensors with higher pixel density are more susceptible to noise and tend to have poorer low light performance.  Therefore it is not uncommon for a point and shoot camera with fewer megapixels to have the same recordable image resolution as a higher megapixel but otherwise similar camera, but for the lower megapixel camera to have better low light and cleaner performance.  Even professional and prosumer SLR digital cameras are reaching the point that the physical restrictions of the lens and light wavelengths limit resolution rather than the pixels in the sensor.  Extra megapixels also means larger files taking up space on your computer.
Moire|An undesirable pattern created by two interfering screens.
Mid-tones|The tonal range between the light highlight areas and dark shadow areas.
Molleton|A thick cotton fabric used on the dampening rollers of offset printing presses.
Mottle|A blotchy appearance usually in solid areas.
Mullen tester|A machine that tests a paper's bursting strength.
Mylar|A polyester sheet made by Dupont to attach film to prior to exposing a printing plate.
N-up|(N = a number number greater than 1) when a larger press than necessary to fit a single copy of a job on at one time is to be used, it is common to print several copies of a piece on the same press sheet.  The number that is put on at once is the number up.  eg. 4-up, 6-up etc.  Sometimes this is also called the number out, 2-out 3-out and so on.
Negative|An image, usually on film, in which the values (and hues in a colour negative) are reversed making black appear white, red appear cyan etc.
Newsprint|A low cost paper made primarily of groundwood pulp with some chemical pulp added.  Sold on rolls for web printing.
Neutral density (ND) filter|A neutral gray optical filter.  This filter uniformly cuts down all colours of light entering a lens.  A typical photographic use would be to achieve slower shutter speeds at a given f-stop enabling artistic blur effects such as smooth flowing water.  Another would be to allow a wider aperture in bright light to allow for a shallower depth of field.
Nips|The line of contact between two rollers.  The pull or draw rollers on a web press are often called nips.
Offset|The process of transferring  an image via a secondary carrier.<br>1) the process in offset lithography where the image is transferred from the image on the plate to a rubber blanket and then from the blanket to the substrate.<br>2) a printing defect where ink that has not fully dried is transferred to it's neighbour, typically the next piece in the stack, or an adjacent page in web printing.
Offset paper|Paper that has been manufactured to impart properties suitable for offset printing.
Opacity|The ability of paper to transmit light through it's surface.   Low opacity paper will show the image on the other side of the sheet, or even the next page though it's surface.  An opaque paper will effectively block the image on it's reverse side.
Overhang cover|A cover that is larger than the interior pages of a book.  Usually seen in case binding.
Over printing|Printing on an area that has already been printed on.  Often black type and small black areas are printed over colour underneath of them.
Overrun or overs|Extra copies that are printed to allow for waste in bindery or other processing after printing.
Overset text|Type that has been placed into a page layout program's text box that does not fit into the allotted space.  This creates a situation where not all of the existing type will show on the page.
Packing|Paper that is placed under the plate or blanket to increase pressure.
Page layout|Area of graphic design that involves the arrangement and styling of page elements.
Pagination|Consecutive page numbering indicating the correct order of the pages.  It is often given a wider definition as the system by which all the information on a page is laid out.
Paste drier|As distinct from liquid drier.  It is a compound added to ink to increase it's drying speed.
Perfecting press or perfector|A printing machine that will print both sides of a sheet in one pass.
PH|A unit of measure for acidity or alkalinity where 7 is neutral and values over 7 are alkaline and under 7 are acid.
Photopolymer coating|A plastic based printing plate coating that polymerizes on exposure to light (the specific kind of light required varies from one brand and model to another) enabling the exposed sections to be removed in processing.
Pica|A unit of measure used in typesetting.  One pica equals approximately 1/6 of an inch. 
Picking|1) the lifting of paper during printing that happens when the strength of the tack (stickiness) of the ink in greater than the structural  integrity of the paper.<br>2) the action of the feeding mechanism in a plate setter when it picks up a plate to be loaded onto the drum.
Pigment|Highly chromatic particles that provide colour to a solution (ink.) 
Piling|The collection of ink or paper particles on the rollers of a press.
Pixel|A minute usually square tile that is the building block for digital images whether in an electronic file, on a display, or in an image capture device.  A single image or device may contain millions of pixels.
Plate cylinder|The large roller like cylinder in a press onto which the plate is loaded.
Plate finish|A smooth hard paper finish achieved by passing damp paper through several heated rollers, a process known as calendaring.
Plater setter|A device that images directly to printing plate with no intermediate stages using heat or some form of light.  The use of plate setters tightens the achievable tolerances in plate making and makes stochastic based dot technologies feasible.
Point|A unit of measurement use primarily for sizing type.
Positive|Film with normal, true to life (not reversed as in a negative) colour and value renderings
Press proof|A copy of a piece that is actually printed on a press either at the start of a run or prior to it and is used as a contract proof.  A press proof is the most reliable way to ensure that the finished product matches the proof signed by the customer.
Primary colours|In printing subtractive primary colours are used, meaning that if you have an absence of all of the colours (of ink in this case) white (or paper colour) is seen.  In anything based on light to create colours, additive primary colours are used, when all the primary colours of light are added together white is produced.  The additive primary colour of light are red, green and blue.  The subtractive primary colours are cyan magenta and yellow.  Black is added in printing for practical reasons, and to add a darker shadow tone.
Process inks, colours, printing|See four colour process
Program|see application.
Ream|500 sheets of paper.
Reducers|Substances added to printing inks to lower the viscosity and reduce the tack.
Register|The alignment of the printed images to each other in multi unit, or process colour printing.
Registration marks|Small cross hairs or other marks used to register colour on a printing press.
Right angle fold|A term used in bindery to describe folds that are perpendicular to each other.
Roll fold|Two or more parallel folds that all fold the same direction creating a kind of flattened roll.
Roller stripping|The removal of ink from ink rollers due to the build up of too much fountain solution that has been transferred back onto the ink rollers with the ink.  When the water content from the fountain solution reaches a certain level the metalic ink rollers start to repel the ink.  Another cause for roller stripping is glazed rollers.
Rosette|The small somewhat flower like patters created by properly angled and registered four colour process printing using traditional screen patterns.  One rosette has four dots of each of cyan magenta yellow and black that line up in a roughly circular form.
Rub proof|Ink that has dried to the point that it will not be damaged by mild rubbing.
Run-around|When text flows around an object rather than right over it.
Runnability|The properties of paper that affect how readily it can be printed on.  The papers ability to consistently absorb and hold ink, it's structural stability and texture can all affect it's runnability.
Running head|Information that appears on the top of each page.
Saddle stitched|A piece bound with wire staples through the center fold.
SATA|A storage interface for attaching hard drives and optical drives to computers.  It replaces the older ATA interface which was parallel, lower speed and did not allow connecting and disconnecting while the machine was powered up.  SATA also has a much smaller and simpler cable of eight pins instead of forty for ATA.
Scaling|Adjusting the size that something is to be reproduced at.
Scan-a-web|A rotating mirror arrangement that allows the viewing of the printed paper as it travels through a web (roll fed) press.
Scanner|An electronic device that shines light at or through two dimensional objects and records the reflected or transmitted image using electronic sensors, usually a CCD.
Score|To indent or otherwise mark the paper to assist folding.
Screen angles|When traditional halftone dots are made they all line up in rows and columns.  Screen angles are the angle at which these dots lie compared to the paper.  In process printing  each colour is printed at a different angle to prevent the dots from interfering with each other and creating moire patterns.  A typical set of angles would be Cyan at 105&deg;, Magenta at 75&deg;, yellow at 0&deg; and black at 45&deg;.  With a good set of angles the dots when printed together should create a rosette pattern.
Screen printing|Printing performed by pressing ink through a masked silk screen.  The most common use is for printing on fabrics.
Scum|The presence of ink in the non-print areas of a print job.
Self cover|When the outside pages of a book are the same paper as the interior with no additional cover bound on top.
Serif|The small cap lines at the end of character formations in serif fonts such as Times.
Sharpen|(on press) to decrease ink flow on press.  Opposite of thicken which tends to make dots swell with the extra ink.
Sheetwise|To print on one side of the press sheet, and then print the second side with new plates.  Also called sheetwork.
Short ink|Buttery ink that drops like a blob of thick gravy.  Long ink on the other hand is more elastic and stringy like melted cheese or honey.
Show through|When image printed on one side can be seen through to the reverse side.
Side guides|Devices on the feed board to accurately position the sheets of paper as they enter a sheet-fed press.
Signature|A printed sheet that, after folding becomes a section of a book.
Sizing|A water resistant paper treatment.
Small caps|Text with lower case letters substituted for smaller capital letters, while capitals remain full size.
Software|Any computer code written to operate, or run on, a computer.  Compare hardware.
Stochastic dots|A random dot pattern that allows greater detail reproduction and smoother visual texture in printing.  When the technology was new, there were several disadvantages, but numerous advances have been made in overcoming these challenges and today hybrid and quasi random dot patterns overcome these obstacles to reap the advantages stochastic without causing problems on press.
Tooth|The surface texture of paper that assists in it's ability to accept ink.
Transparent ink|Ink that when printed with, will not completely obscure what is under it.
Trapping|Small over printed areas between differing ink colours to mask slight misregistration on press.  Without trapping even minute misalignment of the colours can cause slender white lines to appear between adjoining colours.
Trim marks|Small lines printed outside the page area of a piece to assist correct trimming.
Two-sidedness|A quality of paper with differing properties on each side.
Undercut|The difference in radius on a printing press cylinder between the bearers and cylinder body to allow space for the plate or blanket.
Unit|A multi colour press is like having several presses in one.  The section of the press that prints each colour is called a unit.
USB|A common desktop computer interface used to connect all kinds of peripheral devices from scanners to hard drives to keyboards.  The original USB had quite a slow transfer speed, however USB2 was a drastic improvement.
Varnish|A clear usually glossy finish applied to improve durability and appearance.
Vehicle|The part of the ink that provides the body and acts as a carrier for the pigment.
Vellum paper|Paper with a vellum finish has good absorbency and fast ink penetration.  The word vellum comes from a latin word that means from calf.  Vellum paper is made to mimic the smoothness and thickness of true animal skin vellum parchment.
Vignette|An effect applied to make an image gradually fade into the background with a feathered edge.
Walk off|When part of the image area of a plate starts to loose it's ability to hold ink.
Warm colour|Colours that are on the red-orange-yellow end of the spectrum.
Washup|Cleaning the ink off of a press with appropriate solvents.
Watermark|1) a pattern stamped into paper at manufacture.<br>2) a faded pattern or lettering bearing a copyright notice on images.
Web|The paper as it passes through a web press off of the roll.
Web press|A press that prints off of rolls of paper rather than sheets.
Widow|A single word on a line all by its self at the end of a paragraph.
Work and tumble|When one side of a press sheet is printed and then the stock is flipped over and fed back through the press, using the opposite edge of the stock for the gripper edge, but with the same set of plates.
Work and turn|When one side of a press sheet is printed and then the stock is flipped over and fed back through the press, using the same edge of the stock for the gripper edge and with the same set of plates.
Wove finish|A frequently used smooth even paper finish.
